unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,vehicle_type,closed_date,resolution_description,resolution_action_updated_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,facility_type,due_date,taxi_company_borough,data_source,extraction_timestamp
66775230,2025-11-10T01:43:44.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10467,610 WARING AVENUE,WARING AVENUE,BRONX PARK EAST,BARKER AVENUE,BRONX PARK EAST,BARKER AVENUE,ADDRESS,BRONX,WARING AVENUE,In Progress,11 BRONX,2043407501,BRONX,1020142,253132,ONLINE,Unspecified,BRONX,40.86139062950333,-73.87024305503223,"{'latitude': '40.86139062950333', 'longitude': '-73.87024305503223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66779204,2025-11-10T01:43:27.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10454,190 WILLOW AVENUE,WILLOW AVENUE,EAST  136 STREET,EAST  137 STREET,EAST  136 STREET,EAST  137 STREET,ADDRESS,BRONX,WILLOW AVENUE,In Progress,01 BRONX,2025880001,BRONX,1008555,231853,PHONE,Unspecified,BRONX,40.803025429705365,-73.91220950055042,"{'latitude': '40.803025429705365', 'longitude': '-73.91220950055042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Other,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66780159,2025-11-10T01:42:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378,66-15 JAY AVENUE,JAY AVENUE,66 STREET,68 STREET,66 STREET,68 STREET,ADDRESS,MASPETH,JAY AVENUE,In Progress,05 QUEENS,4023990068,QUEENS,1012471,204447,MOBILE,Unspecified,QUEENS,40.72779146016181,-73.89817984949896,"{'latitude': '40.72779146016181', 'longitude': '-73.89817984949896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66780173,2025-11-10T01:38:07.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11207,14 BARBEY STREET,BARBEY STREET,HIGHLAND BOULEVARD,SUNNYSIDE AVENUE,HIGHLAND BOULEVARD,SUNNYSIDE AVENUE,ADDRESS,BROOKLYN,BARBEY STREET,In Progress,05 BROOKLYN,3038860064,BROOKLYN,1014600,188173,MOBILE,Unspecified,BROOKLYN,40.68311615177059,-73.89057186603726,"{'latitude': '40.68311615177059', 'longitude': '-73.89057186603726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66780182,2025-11-10T01:36:32.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11372,79-11 NORTHERN BOULEVARD,NORTHERN BOULEVARD,79 STREET,80 STREET,79 STREET,80 STREET,ADDRESS,JACKSON HEIGHTS,NORTHERN BOULEVARD,In Progress,03 QUEENS,4011750036,QUEENS,1015293,214471,ONLINE,Unspecified,QUEENS,40.75529536774556,-73.88795194472522,"{'latitude': '40.75529536774556', 'longitude': '-73.88795194472522', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66775335,2025-11-10T01:35:14.000,DHS,Department of Homeless Services,Homeless Person Assistance,Chronic,Residential Building/House,10456,1230 WEBSTER AVENUE,WEBSTER AVENUE,EAST 168 STREET,EAST 169 STREET,EAST  168 STREET,EAST  169 STREET,ADDRESS,BRONX,WEBSTER AVENUE,Closed,03 BRONX,2023950001,BRONX,1009294,242584,MOBILE,Unspecified,BRONX,40.832476930422466,-73.90950016379995,"{'latitude': '40.832476930422466', 'longitude': '-73.90950016379995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2025-11-10T02:03:59.000,"Based on the nature of this issue, the Department of Homeless Services (DHS) worked with the New York City Police Department (NYPD) and determined that the best course of action was to transfer this issue to the NYPD. Your service request has been closed.",2025-11-10T02:03:59.000,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66780207,2025-11-10T01:34:36.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10025,211 WEST  102 STREET,WEST  102 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  102 STREET,In Progress,07 MANHATTAN,1018740022,MANHATTAN,993045,230067,ONLINE,Unspecified,MANHATTAN,40.79815239978816,-73.96823448636394,"{'latitude': '40.79815239978816', 'longitude': '-73.96823448636394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Truck,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66779188,2025-11-10T01:34:29.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10026,48 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  112 STREET,WEST  113 STREET,WEST  112 STREET,WEST  113 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,In Progress,10 MANHATTAN,1018220024,MANHATTAN,997408,230850,ONLINE,St. Nicholas Park,MANHATTAN,40.80029610120122,-73.95247480385893,"{'latitude': '40.80029610120122', 'longitude': '-73.95247480385893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66776428,2025-11-10T01:32:31.000,DOHMH,Department of Health and Mental Hygiene,Smoking or Vaping,Allowed in Smoke Free Area,Residential Building,10455,377 EAST  153 STREET,EAST  153 STREET,COURTLANDT AVENUE,MELROSE AVENUE,COURTLANDT AVENUE,MELROSE AVENUE,ADDRESS,BRONX,EAST  153 STREET,In Progress,01 BRONX,2024000033,BRONX,1007105,237721,PHONE,Unspecified,BRONX,40.81913532124685,-73.91742696769519,"{'latitude': '40.81913532124685', 'longitude': '-73.91742696769519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66773336,2025-11-10T01:32:30.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10002,317 EAST HOUSTON STREET,EAST HOUSTON STREET,AVENUE B,ATTORNEY STREET,AVENUE B,ATTORNEY STREET,ADDRESS,NEW YORK,EAST HOUSTON STREET,In Progress,03 MANHATTAN,1003500062,MANHATTAN,988926,202049,MOBILE,Unspecified,MANHATTAN,40.72125331438082,-73.98313085248822,"{'latitude': '40.72125331438082', 'longitude': '-73.98313085248822', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66778168,2025-11-10T01:32:04.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10451,705 GERARD AVENUE,GERARD AVENUE,EAST  153 STREET,JEROME AVENUE LINE,EAST  153 STREET,JEROME AVENUE LINE,ADDRESS,BRONX,GERARD AVENUE,In Progress,04 BRONX,2024820053,BRONX,1004456,239502,PHONE,Unspecified,BRONX,40.82403011769693,-73.92699219567847,"{'latitude': '40.82403011769693', 'longitude': '-73.92699219567847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66774312,2025-11-10T01:32:01.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11414,81-15 156 AVENUE,156 AVENUE,81 STREET,SHORE PARKWAY,81 STREET,SHORE PARKWAY,ADDRESS,HOWARD BEACH,156 AVENUE,In Progress,10 QUEENS,4114610002,QUEENS,1025390,180743,MOBILE,Unspecified,QUEENS,40.662678925071454,-73.85171350505479,"{'latitude': '40.662678925071454', 'longitude': '-73.85171350505479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Car,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66776329,2025-11-10T01:29:45.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,11434,145-40 155 STREET,155 STREET,145 AVENUE,145 DRIVE,145 AVENUE,145 DRIVE,ADDRESS,JAMAICA,155 STREET,In Progress,13 QUEENS,4150060070,QUEENS,1044536,181633,MOBILE,Unspecified,QUEENS,40.665012109727414,-73.78269525450914,"{'latitude': '40.665012109727414', 'longitude': '-73.78269525450914', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66774860,2025-11-10T01:29:37.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10009,734 EAST    5 STREET,EAST    5 STREET,AVENUE C,AVENUE D,AVENUE C,AVENUE D,ADDRESS,NEW YORK,EAST    5 STREET,Closed,03 MANHATTAN,1003740025,MANHATTAN,990260,202426,ONLINE,Unspecified,MANHATTAN,40.722287282590315,-73.97831797479238,"{'latitude': '40.722287282590315', 'longitude': '-73.97831797479238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2025-11-10T01:36:00.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-11-10T01:36:06.000,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66774302,2025-11-10T01:29:14.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,108-32 43 AVENUE,43 AVENUE,108 STREET,111 STREET,108 STREET,111 STREET,ADDRESS,CORONA,43 AVENUE,In Progress,04 QUEENS,,QUEENS,1023805,212125,PHONE,Unspecified,QUEENS,40.74882221835263,-73.8572421825503,"{'latitude': '40.74882221835263', 'longitude': '-73.8572421825503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66778166,2025-11-10T01:29:11.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11367,72-21 153 STREET,153 STREET,72 ROAD,72 DRIVE,72 ROAD,72 DRIVE,ADDRESS,FLUSHING,153 STREET,In Progress,08 QUEENS,4068030002,QUEENS,1035591,204434,MOBILE,Unspecified,QUEENS,40.727651801278654,-73.81476417879685,"{'latitude': '40.727651801278654', 'longitude': '-73.81476417879685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66774262,2025-11-10T01:27:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10475,100 ERSKINE PLACE,ERSKINE PLACE,EARHART LANE,BEND,EARHART LANE,BEND,ADDRESS,BRONX,ERSKINE PLACE,In Progress,10 BRONX,2051350051,BRONX,1033410,253033,MOBILE,Unspecified,BRONX,40.86105499075877,-73.82227735247066,"{'latitude': '40.86105499075877', 'longitude': '-73.82227735247066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66775277,2025-11-10T01:27:39.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10025,211 WEST  102 STREET,WEST  102 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  102 STREET,In Progress,07 MANHATTAN,1018740022,MANHATTAN,993045,230067,ONLINE,Unspecified,MANHATTAN,40.79815239978816,-73.96823448636394,"{'latitude': '40.79815239978816', 'longitude': '-73.96823448636394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Truck,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66776269,2025-11-10T01:27:29.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10454,EAST  136 STREET,EAST  136 STREET,EAST  136 STREET,WILLOW AVENUE,EAST  136 STREET,WILLOW AVENUE,INTERSECTION,,,In Progress,01 BRONX,,BRONX,1008533,231820,PHONE,Unspecified,BRONX,40.80293491429431,-73.91228908460891,"{'latitude': '40.80293491429431', 'longitude': '-73.91228908460891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Other,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66777172,2025-11-10T01:26:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11416,81-12 101 AVENUE,101 AVENUE,81 STREET,82 STREET,81 STREET,82 STREET,ADDRESS,OZONE PARK,101 AVENUE,In Progress,09 QUEENS,4090810016,QUEENS,1023718,187390,PHONE,Unspecified,QUEENS,40.68093103744175,-73.85770119107772,"{'latitude': '40.68093103744175', 'longitude': '-73.85770119107772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66776719,2025-11-10T01:26:44.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10018,508 9 AVENUE,9 AVENUE,WEST   38 STREET,WEST   39 STREET,WEST   38 STREET,WEST   39 STREET,ADDRESS,NEW YORK,9 AVENUE,Closed,04 MANHATTAN,1007620003,MANHATTAN,985830,214755,ONLINE,Unspecified,MANHATTAN,40.7561292284094,-73.99429700430439,"{'latitude': '40.7561292284094', 'longitude': '-73.99429700430439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2025-11-10T01:49:03.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-11-10T01:49:06.000,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66779101,2025-11-10T01:25:28.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11355,42-43 157 STREET,157 STREET,SANFORD AVENUE,43 AVENUE,SANFORD AVENUE,43 AVENUE,ADDRESS,FLUSHING,157 STREET,In Progress,07 QUEENS,4053880011,QUEENS,1037244,216305,MOBILE,Unspecified,QUEENS,40.76022490237493,-73.80870672294297,"{'latitude': '40.76022490237493', 'longitude': '-73.80870672294297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66773820,2025-11-10T01:25:20.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10027,18 MT MORRIS PARK WEST,MT MORRIS PARK WEST,WEST  121 STREET,WEST  122 STREET,WEST  121 STREET,WEST  122 STREET,ADDRESS,NEW YORK,MOUNT MORRIS PARK WEST,Closed,11 MANHATTAN,1017190001,MANHATTAN,999341,232509,ONLINE,Marcus Garvey Park,MANHATTAN,40.80484651053699,-73.94548930106254,"{'latitude': '40.80484651053699', 'longitude': '-73.94548930106254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2025-11-10T01:37:31.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-11-10T01:37:36.000,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66777681,2025-11-10T01:24:09.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,11237,254 IRVING AVENUE,IRVING AVENUE,BLEECKER STREET,MENAHAN STREET,BLEECKER STREET,MENAHAN STREET,ADDRESS,BROOKLYN,IRVING AVENUE,Closed,04 BROOKLYN,3033090022,BROOKLYN,1007504,194320,MOBILE,Unspecified,BROOKLYN,40.70000972722279,-73.91613553987794,"{'latitude': '40.70000972722279', 'longitude': '-73.91613553987794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2025-11-10T01:44:10.000,The Police Department responded to the complaint and took action to fix the condition.,2025-11-10T01:44:16.000,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66778177,2025-11-10T01:22:57.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10454,EAST  136 STREET,EAST  136 STREET,EAST  136 STREET,WILLOW AVENUE,EAST  136 STREET,WILLOW AVENUE,INTERSECTION,,,In Progress,01 BRONX,,BRONX,1008533,231820,PHONE,Unspecified,BRONX,40.80293491429431,-73.91228908460891,"{'latitude': '40.80293491429431', 'longitude': '-73.91228908460891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66774659,2025-11-10T01:22:47.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10001,383 WEST   31 STREET,WEST   31 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   31 STREET,Closed,04 MANHATTAN,1007557501,MANHATTAN,985102,212952,MOBILE,Unspecified,MANHATTAN,40.75118055107299,-73.99692494216747,"{'latitude': '40.75118055107299', 'longitude': '-73.99692494216747', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,2025-11-10T01:34:58.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-11-10T01:35:02.000,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66774215,2025-11-10T01:22:25.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11204,1671 55 STREET,55 STREET,16 AVENUE,17 AVENUE,16 AVENUE,17 AVENUE,ADDRESS,BROOKLYN,55 STREET,In Progress,12 BROOKLYN,3054850061,BROOKLYN,987745,167607,ONLINE,Unspecified,BROOKLYN,40.626718323789106,-73.98740928992201,"{'latitude': '40.626718323789106', 'longitude': '-73.98740928992201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66775242,2025-11-10T01:21:45.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11214,BATH AVENUE,BATH AVENUE,BATH AVENUE,BAY   28 STREET,BATH AVENUE,BAY   28 STREET,INTERSECTION,,,In Progress,11 BROOKLYN,,BROOKLYN,984597,157698,PHONE,Unspecified,BROOKLYN,40.59952084513581,-73.99875044442541,"{'latitude': '40.59952084513581', 'longitude': '-73.99875044442541', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66774310,2025-11-10T01:21:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11211,236 GRAND STREET,GRAND STREET,DRIGGS AVENUE,ROEBLING STREET,DRIGGS AVENUE,ROEBLING STREET,ADDRESS,BROOKLYN,GRAND STREET,In Progress,01 BROOKLYN,3023940011,BROOKLYN,995557,199279,MOBILE,Unspecified,BROOKLYN,40.71364433967072,-73.95921349818421,"{'latitude': '40.71364433967072', 'longitude': '-73.95921349818421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
66772731,2025-11-10T01:21:12.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,10012,160 BLEECKER STREET,BLEECKER STREET,THOMPSON STREET,SULLIVAN STREET,THOMPSON STREET,SULLIVAN STREET,ADDRESS,NEW YORK,BLEECKER STREET,Closed,02 MANHATTAN,1005257501,MANHATTAN,984257,204710,ONLINE,Unspecified,MANHATTAN,40.72855834935655,-73.99997474401702,"{'latitude': '40.72855834935655', 'longitude': '-73.99997474401702', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Other,2025-11-10T01:45:20.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-11-10T01:45:25.000,,,,,,,nyc_opendata_311,2025-11-12 02:39:01.699840
