listing_id,price,room_type,neighbourhood,cluster
17747,105,Private room,Clinton Hill,3
18127,190,Entire home/apt,East Village,0
18152,200,Private room,Upper East Side,3
18198,70,Private room,Woodside,0
18590,95,Private room,Fort Greene,3
18728,150,Private room,Chelsea,3
18764,145,Private room,Williamsburg,0
19159,110,Entire home/apt,Harlem,0
19169,285,Entire home/apt,Lower East Side,0
19282,130,Entire home/apt,Flatbush,2
19319,94,Private room,Lower East Side,3
19601,800,Entire home/apt,Brooklyn Heights,2
19812,105,Entire home/apt,Williamsburg,0
20299,60,Private room,East Village,3
20300,50,Private room,East Village,2
20611,85,Private room,Williamsburg,3
20724,65,Private room,Bushwick,0
20734,131,Entire home/apt,Prospect Heights,3
20755,98,Private room,Clinton Hill,0
20853,250,Entire home/apt,Prospect Heights,2
20913,100,Entire home/apt,Williamsburg,3
21293,105,Entire home/apt,Bushwick,3
21456,140,Entire home/apt,Upper West Side,3
21644,89,Private room,Harlem,0
21794,98,Private room,Chelsea,0
22911,125,Entire home/apt,Bedford-Stuyvesant,3
22918,60,Private room,Harlem,0
23135,175,Entire home/apt,Carroll Gardens,3
23501,65,Private room,Washington Heights,0
23686,500,Entire home/apt,West Village,0
24143,101,Private room,Williamsburg,3
24285,220,Entire home/apt,Park Slope,2
25235,125,Entire home/apt,Bedford-Stuyvesant,3
25406,80,Entire home/apt,Williamsburg,0
25696,100,Private room,Harlem,3
26012,200,Entire home/apt,Gowanus,0
26362,59,Private room,Hell's Kitchen,3
26520,125,Private room,Clinton Hill,0
26559,140,Entire home/apt,East Village,0
26785,120,Entire home/apt,South Slope,3
26933,350,Entire home/apt,East Village,0
26954,199,Entire home/apt,Kips Bay,0
26969,325,Entire home/apt,Williamsburg,3
27006,235,Entire home/apt,Upper West Side,0
27385,225,Entire home/apt,East Village,3
27531,99,Private room,South Slope,3
27644,170,Entire home/apt,Harlem,3
27659,400,Entire home/apt,South Slope,0
27759,170,Entire home/apt,Upper West Side,0
27883,100,Entire home/apt,East Village,2
28321,75,Private room,Prospect-Lefferts Gardens,0
28396,90,Private room,Williamsburg,0
28907,150,Entire home/apt,Upper East Side,0
29012,85,Private room,Washington Heights,0
29013,70,Private room,Bedford-Stuyvesant,0
29455,120,Entire home/apt,Harlem,3
29628,89,Private room,Clinton Hill,3
29683,185,Entire home/apt,East Village,0
30031,50,Private room,Greenpoint,3
30927,105,Entire home/apt,Lower East Side,2
31130,130,Private room,Hell's Kitchen,0
31555,115,Entire home/apt,West Village,2
31902,77,Private room,Flatlands,2
31994,76,Private room,Clinton Hill,3
32023,125,Entire home/apt,Bedford-Stuyvesant,3
32037,135,Private room,Clinton Hill,0
32100,250,Entire home/apt,Greenpoint,2
32289,199,Entire home/apt,Williamsburg,0
32331,140,Entire home/apt,Cobble Hill,2
32363,140,Private room,Flushing,1
32965,115,Entire home/apt,Bedford-Stuyvesant,3
32969,160,Entire home/apt,Williamsburg,0
33009,195,Entire home/apt,Williamsburg,3
33014,195,Entire home/apt,East Village,0
33223,80,Private room,Williamsburg,3
34760,44,Private room,Fort Greene,0
35526,156,Private room,West Village,0
36121,85,Private room,Prospect Heights,0
36133,125,Private room,Williamsburg,3
36442,115,Entire home/apt,Prospect Heights,0
36647,69,Private room,East Harlem,2
36703,225,Entire home/apt,West Village,3
36934,125,Entire home/apt,Williamsburg,0
38638,219,Entire home/apt,Upper East Side,3
38663,475,Entire home/apt,Boerum Hill,0
39267,99,Entire home/apt,Upper East Side,3
39282,69,Private room,Williamsburg,3
39593,79,Private room,Sunnyside,2
39704,135,Entire home/apt,Bedford-Stuyvesant,3
40039,250,Private room,DUMBO,0
40453,250,Entire home/apt,Upper East Side,0
41348,250,Entire home/apt,Gowanus,2
41513,80,Entire home/apt,Harlem,2
42580,70,Private room,Clinton Hill,3
42729,165,Entire home/apt,Carroll Gardens,3
42882,70,Private room,St. George,3
43957,50,Private room,Bushwick,2
44096,40,Private room,Highbridge,3
44161,150,Entire home/apt,Williamsburg,3
44212,125,Private room,East Village,0
44221,196,Entire home/apt,Financial District,3
44229,110,Private room,Fort Greene,3
44288,170,Entire home/apt,West Village,0
44506,165,Entire home/apt,Harlem,0
45393,150,Entire home/apt,West Village,0
45542,100,Entire home/apt,Harlem,2
45556,65,Private room,Fort Greene,3
45910,350,Entire home/apt,Ridgewood,0
45936,99,Private room,Morningside Heights,3
45940,200,Entire home/apt,Williamsburg,2
46544,150,Entire home/apt,Park Slope,2
46723,90,Private room,Bedford-Stuyvesant,3
46911,120,Private room,Prospect Heights,0
47199,75,Private room,Upper East Side,3
47362,175,Entire home/apt,Bedford-Stuyvesant,0
47370,125,Entire home/apt,Chelsea,2
47926,275,Entire home/apt,Hell's Kitchen,0
48719,299,Entire home/apt,Lower East Side,3
50447,135,Entire home/apt,South Slope,3
51438,130,Private room,Upper East Side,2
51485,83,Private room,Lower East Side,3
51572,123,Private room,Chelsea,3
51850,55,Private room,Jamaica,1
53137,195,Entire home/apt,Hell's Kitchen,2
53196,80,Private room,Bedford-Stuyvesant,2
53469,98,Entire home/apt,Middle Village,1
53470,140,Private room,Ridgewood,0
53477,265,Entire home/apt,Middle Village,1
54158,249,Entire home/apt,Williamsburg,3
54453,105,Shared room,Hell's Kitchen,0
54466,200,Private room,Harlem,0
54508,100,Private room,Prospect Heights,3
54544,121,Entire home/apt,Harlem,3
54626,45,Private room,Highbridge,3
54860,100,Private room,East Harlem,3
55467,140,Entire home/apt,Williamsburg,3
55498,71,Private room,Bedford-Stuyvesant,2
55668,130,Private room,NoHo,3
55737,199,Entire home/apt,West Village,3
55959,69,Private room,Williamsburg,2
55982,68,Private room,Fort Greene,2
56467,130,Entire home/apt,East Village,3
56525,195,Entire home/apt,Greenpoint,2
56859,64,Private room,Harlem,3
57166,140,Entire home/apt,Ditmars Steinway,0
57297,159,Entire home/apt,Cobble Hill,3
57468,189,Entire home/apt,East Village,3
57618,250,Entire home/apt,Hell's Kitchen,2
57740,239,Entire home/apt,East Village,0
57754,305,Entire home/apt,Flatiron District,3
57874,155,Entire home/apt,Harlem,3
58059,60,Private room,Harlem,3
58062,135,Private room,Windsor Terrace,0
58467,120,Private room,Roosevelt Island,0
59014,150,Entire home/apt,Lower East Side,0
59121,140,Entire home/apt,Ridgewood,0
59642,135,Entire home/apt,Greenpoint,2
59709,250,Entire home/apt,Chinatown,0
59855,250,Entire home/apt,Midtown,2
60164,500,Entire home/apt,SoHo,0
60457,225,Entire home/apt,Greenwich Village,2
60611,125,Entire home/apt,East Harlem,3
60666,92,Private room,Harlem,3
60673,175,Private room,Harlem,0
60680,99,Entire home/apt,East Village,3
60794,195,Entire home/apt,Upper West Side,2
60948,140,Entire home/apt,East Harlem,3
61167,135,Entire home/apt,Little Italy,2
61224,500,Entire home/apt,Chelsea,0
61406,80,Private room,Harlem,2
61492,120,Private room,Chinatown,3
61509,110,Entire home/apt,Midtown,0
62095,65,Entire home/apt,East Flatbush,3
62427,130,Entire home/apt,East Village,2
62430,99,Entire home/apt,Bushwick,3
62452,36,Private room,Tompkinsville,3
62461,37,Private room,Tompkinsville,3
62787,37,Private room,Tompkinsville,3
62891,175,Entire home/apt,East Village,3
62903,205,Entire home/apt,Chelsea,2
62925,285,Entire home/apt,Greenpoint,3
63299,59,Private room,Williamsburg,3
63320,36,Private room,Tompkinsville,3
63360,99,Entire home/apt,Astoria,3
63546,39,Private room,Kensington,0
63573,60,Private room,Park Slope,2
63588,90,Private room,Clason Point,1
63610,105,Entire home/apt,Eastchester,1
63657,135,Entire home/apt,Bedford-Stuyvesant,3
63693,390,Entire home/apt,East Village,3
63719,70,Private room,Bedford-Stuyvesant,0
63913,75,Private room,Inwood,0
64000,60,Private room,Williamsburg,0
64015,200,Entire home/apt,East Village,2
64107,100,Private room,Crown Heights,3
64277,70,Private room,Bedford-Stuyvesant,2
64314,110,Private room,Crown Heights,2
64365,60,Private room,Crown Heights,3
64707,90,Entire home/apt,Little Italy,2
64837,68,Private room,East Village,3
65019,115,Entire home/apt,Upper West Side,3
65268,75,Private room,Bedford-Stuyvesant,2
65556,60,Private room,Williamsburg,2
65562,129,Entire home/apt,East Village,0
65615,130,Entire home/apt,Williamsburg,2
65660,95,Entire home/apt,Williamsburg,3
65813,75,Private room,Harlem,0
65834,175,Entire home/apt,Park Slope,0
66008,190,Entire home/apt,Carroll Gardens,0
66026,49,Private room,Crown Heights,0
66251,212,Entire home/apt,East Village,2
66275,95,Private room,Lower East Side,3
66451,140,Entire home/apt,Williamsburg,0
66718,135,Entire home/apt,Harlem,3
66741,150,Entire home/apt,Park Slope,3
66974,190,Entire home/apt,Gowanus,0
67288,124,Entire home/apt,East Harlem,2
67299,135,Entire home/apt,Williamsburg,2
67397,122,Private room,Morningside Heights,3
68099,109,Private room,Upper West Side,3
68305,85,Private room,Harlem,0
68403,145,Entire home/apt,Bedford-Stuyvesant,3
68735,195,Entire home/apt,Upper West Side,0
68765,250,Entire home/apt,Carroll Gardens,3
68900,125,Private room,Greenpoint,0
68974,575,Entire home/apt,Little Italy,3
69894,150,Entire home/apt,Upper West Side,2
69921,70,Private room,Bushwick,0
70095,90,Private room,Inwood,3
70128,65,Private room,East Village,2
70609,500,Entire home/apt,East Village,0
71010,250,Entire home/apt,Washington Heights,0
71248,125,Entire home/apt,Chinatown,2
71366,200,Entire home/apt,West Village,0
71384,229,Entire home/apt,Greenpoint,0
71812,90,Entire home/apt,Kingsbridge,1
72190,110,Entire home/apt,Upper West Side,2
72265,59,Private room,Greenpoint,2
74073,195,Entire home/apt,Williamsburg,2
74240,169,Entire home/apt,Williamsburg,0
74333,113,Entire home/apt,East Harlem,0
74404,250,Entire home/apt,Harlem,2
74680,115,Entire home/apt,Astoria,3
74860,55,Private room,Greenpoint,2
75193,69,Private room,Williamsburg,3
75635,150,Entire home/apt,Lower East Side,3
76761,169,Entire home/apt,South Slope,3
77765,179,Private room,Greenpoint,2
77936,150,Private room,Hell's Kitchen,2
78919,135,Entire home/apt,Boerum Hill,2
79067,350,Entire home/apt,Clinton Hill,0
79782,120,Private room,Williamsburg,0
80493,71,Private room,East Village,3
80684,349,Private room,Greenpoint,2
80700,349,Private room,Greenpoint,2
80924,165,Entire home/apt,Park Slope,0
81739,249,Private room,Greenpoint,2
82549,100,Private room,Brooklyn Heights,2
82550,200,Entire home/apt,Brooklyn Heights,2
82638,169,Entire home/apt,East Village,3
82928,185,Entire home/apt,Bedford-Stuyvesant,0
83243,65,Entire home/apt,Bushwick,3
83446,130,Entire home/apt,Fort Greene,0
83722,199,Entire home/apt,Williamsburg,2
83847,225,Entire home/apt,East Village,2
84010,179,Private room,Greenpoint,2
84059,150,Entire home/apt,Crown Heights,2
84659,139,Entire home/apt,East Village,3
84905,95,Private room,Two Bridges,3
85094,79,Entire home/apt,Crown Heights,0
86215,150,Entire home/apt,Lower East Side,3
89427,650,Entire home/apt,Clinton Hill,0
89621,90,Entire home/apt,Bedford-Stuyvesant,3
93313,120,Entire home/apt,Bedford-Stuyvesant,3
94035,80,Private room,Astoria,0
94209,100,Entire home/apt,Crown Heights,0
94477,175,Entire home/apt,Bedford-Stuyvesant,3
94783,120,Entire home/apt,Crown Heights,3
95747,140,Entire home/apt,Williamsburg,2
95883,200,Entire home/apt,Bedford-Stuyvesant,2
96471,165,Private room,Clinton Hill,0
98330,125,Entire home/apt,Kips Bay,0
98663,130,Entire home/apt,Chelsea,0
99070,65,Shared room,East Harlem,3
99085,123,Entire home/apt,Fort Greene,0
100002,67,Private room,Washington Heights,3
100184,50,Private room,Queens Village,1
100186,130,Entire home/apt,Gowanus,3
101053,100,Private room,Williamsburg,2
102995,212,Entire home/apt,Upper West Side,2
103161,190,Entire home/apt,Williamsburg,3
103311,599,Private room,Greenpoint,2
103806,249,Entire home/apt,East Village,3
105469,70,Private room,Rockaway Beach,1
105510,100,Entire home/apt,Crown Heights,0
106363,60,Private room,Harlem,3
106647,135,Entire home/apt,Bedford-Stuyvesant,3
107630,175,Entire home/apt,Greenpoint,3
107895,120,Entire home/apt,Upper West Side,0
110739,169,Entire home/apt,Midtown,2
112100,165,Entire home/apt,Crown Heights,2
112304,90,Private room,Harlem,2
112359,225,Entire home/apt,Upper East Side,0
112435,95,Private room,Fort Greene,3
113265,55,Private room,Crown Heights,3
113945,85,Private room,Hell's Kitchen,3
114123,199,Entire home/apt,South Slope,0
114229,211,Entire home/apt,Lower East Side,0
114969,145,Entire home/apt,Midtown,2
115535,65,Private room,Harlem,0
115678,99,Entire home/apt,Harlem,3
115748,110,Entire home/apt,Astoria,0
116940,80,Entire home/apt,Crown Heights,3
117425,150,Entire home/apt,Brooklyn Heights,0
118061,110,Entire home/apt,Bedford-Stuyvesant,0
118430,290,Private room,Chelsea,2
118680,87,Private room,East Village,2
120362,190,Entire home/apt,Williamsburg,0
121687,200,Entire home/apt,Williamsburg,2
121861,165,Entire home/apt,Park Slope,2
123784,110,Entire home/apt,Harlem,3
125053,395,Entire home/apt,East Village,0
125163,99,Private room,Bedford-Stuyvesant,0
125594,39,Private room,Kensington,3
126443,189,Entire home/apt,East Village,3
126816,85,Private room,Upper West Side,2
127387,260,Entire home/apt,Gowanus,0
128975,122,Entire home/apt,Harlem,3
131154,165,Entire home/apt,Greenpoint,3
132516,97,Entire home/apt,Forest Hills,1
132570,170,Entire home/apt,West Village,2
132695,125,Entire home/apt,Williamsburg,2
133025,130,Private room,Murray Hill,3
134934,225,Entire home/apt,Williamsburg,2
135393,50,Private room,East Flatbush,3
135465,170,Entire home/apt,Fort Greene,3
135706,132,Entire home/apt,Chelsea,2
136493,250,Entire home/apt,Park Slope,2
138216,141,Entire home/apt,Greenpoint,2
139624,64,Entire home/apt,Crown Heights,2
140133,249,Entire home/apt,Williamsburg,3
140425,79,Private room,Crown Heights,3
140973,185,Entire home/apt,East Village,0
141154,120,Entire home/apt,Boerum Hill,3
141335,495,Entire home/apt,Park Slope,0
141890,375,Entire home/apt,Nolita,2
141984,175,Entire home/apt,Nolita,0
142069,150,Entire home/apt,East Village,2
144087,259,Entire home/apt,Harlem,0
144148,96,Private room,East Village,2
145064,145,Entire home/apt,Williamsburg,2
145188,200,Entire home/apt,Chelsea,2
145994,95,Entire home/apt,Upper West Side,2
146754,250,Entire home/apt,Windsor Terrace,0
147586,295,Entire home/apt,Harlem,0
148201,175,Entire home/apt,Greenwich Village,2
148259,451,Entire home/apt,Williamsburg,0
148825,165,Entire home/apt,Upper West Side,3
149287,250,Entire home/apt,Upper East Side,2
149777,77,Entire home/apt,Woodlawn,3
150804,250,Entire home/apt,Lower East Side,2
151199,129,Entire home/apt,Astoria,3
151478,98,Private room,Williamsburg,2
152071,150,Entire home/apt,Park Slope,2
152078,95,Private room,East Village,0
152259,55,Private room,Harlem,3
152263,300,Entire home/apt,Harlem,3
152520,42,Private room,Sunnyside,0
153405,125,Entire home/apt,Greenpoint,3
153780,175,Private room,East Village,3
154934,75,Private room,Harlem,0
155296,255,Entire home/apt,Williamsburg,0
157673,72,Entire home/apt,Bedford-Stuyvesant,3
158061,165,Private room,Bedford-Stuyvesant,0
158176,165,Entire home/apt,Williamsburg,3
158290,75,Private room,Clinton Hill,0
158913,130,Entire home/apt,Greenpoint,2
158955,139,Entire home/apt,Williamsburg,3
159749,88,Private room,Bedford-Stuyvesant,0
159815,80,Private room,Bedford-Stuyvesant,0
159913,150,Private room,Chelsea,2
160609,200,Entire home/apt,Upper West Side,2
160994,200,Entire home/apt,East Village,3
161366,42,Private room,Sunnyside,0
161394,90,Private room,Williamsburg,2
161996,295,Entire home/apt,Harlem,3
162493,450,Entire home/apt,Williamsburg,2
162508,130,Entire home/apt,Crown Heights,2
163627,89,Private room,Williamsburg,3
163809,198,Entire home/apt,Harlem,0
163814,99,Entire home/apt,East Village,3
163836,46,Private room,Greenpoint,3
164989,140,Private room,SoHo,0
165080,500,Entire home/apt,Carroll Gardens,2
165461,75,Private room,Morningside Heights,0
165824,33,Private room,Sunnyside,0
166006,250,Entire home/apt,Upper West Side,3
166172,60,Private room,Bushwick,3
166541,75,Private room,Washington Heights,0
166983,350,Entire home/apt,Carroll Gardens,2
167013,205,Entire home/apt,Chelsea,2
167017,219,Entire home/apt,Park Slope,2
167222,60,Private room,Park Slope,0
167482,185,Entire home/apt,Upper West Side,3
168084,190,Entire home/apt,East Village,3
168123,105,Entire home/apt,South Slope,3
168546,250,Entire home/apt,East Harlem,2
168810,175,Entire home/apt,Upper West Side,0
169002,65,Private room,Harlem,2
169152,75,Entire home/apt,Bedford-Stuyvesant,2
169306,37,Private room,University Heights,3
169464,85,Entire home/apt,Williamsburg,2
169483,106,Entire home/apt,Gravesend,2
170420,79,Entire home/apt,East Harlem,2
170761,85,Private room,Fort Greene,2
171776,170,Private room,Harlem,2
172700,115,Private room,Lower East Side,0
172870,89,Private room,Harlem,0
173072,49,Shared room,Harlem,3
173151,91,Private room,Greenpoint,3
173742,400,Entire home/apt,Gramercy,3
174527,150,Entire home/apt,Bushwick,2
174966,2000,Entire home/apt,Upper West Side,0
176135,97,Entire home/apt,Crown Heights,0
176653,100,Private room,East Village,2
176962,179,Entire home/apt,Williamsburg,2
177421,500,Entire home/apt,Greenpoint,2
177495,429,Entire home/apt,Chelsea,2
177606,189,Entire home/apt,Kips Bay,0
179670,120,Private room,Lower East Side,3
179741,300,Entire home/apt,Nolita,2
180507,107,Entire home/apt,Astoria,0
180792,95,Entire home/apt,Astoria,0
181972,199,Entire home/apt,Harlem,3
182069,120,Entire home/apt,East Harlem,3
182095,199,Entire home/apt,West Village,2
182177,125,Entire home/apt,Allerton,3
182649,70,Private room,Williamsburg,3
185266,75,Private room,Williamsburg,2
187488,100,Private room,West Village,0
187566,99,Entire home/apt,Bedford-Stuyvesant,3
187986,250,Entire home/apt,Chelsea,2
188146,350,Entire home/apt,Williamsburg,0
188661,170,Entire home/apt,Prospect Heights,2
188674,165,Entire home/apt,East Village,2
189135,99,Private room,Hell's Kitchen,0
189181,255,Private room,Chelsea,0
189732,169,Entire home/apt,East New York,3
189787,99,Entire home/apt,Crown Heights,3
190267,169,Entire home/apt,Upper East Side,2
190542,160,Entire home/apt,Bedford-Stuyvesant,0
190968,215,Entire home/apt,Prospect Heights,2
190974,130,Entire home/apt,Park Slope,3
191075,110,Private room,East Village,0
193105,150,Private room,Hell's Kitchen,0
193333,65,Private room,Williamsburg,0
193393,75,Private room,Sunnyside,3
193853,149,Entire home/apt,Chelsea,2
194154,89,Private room,Upper West Side,0
195123,50,Private room,Washington Heights,3
195233,43,Private room,Prospect-Lefferts Gardens,3
195240,42,Private room,Prospect-Lefferts Gardens,2
195578,85,Private room,Williamsburg,2
195971,139,Entire home/apt,Bedford-Stuyvesant,3
195989,105,Private room,Park Slope,3
196010,265,Entire home/apt,Park Slope,2
197155,149,Entire home/apt,Hell's Kitchen,3
197753,68,Private room,Harlem,3
197942,99,Entire home/apt,Bedford-Stuyvesant,3
199195,75,Private room,Harlem,2
199312,100,Private room,Williamsburg,3
200645,90,Shared room,Upper East Side,2
200955,160,Entire home/apt,East Village,2
201992,190,Entire home/apt,Park Slope,3
202273,67,Private room,Bedford-Stuyvesant,2
203901,190,Entire home/apt,Upper East Side,2
204065,248,Entire home/apt,Clinton Hill,0
204833,100,Private room,Williamsburg,0
204959,95,Private room,Chinatown,3
205043,150,Private room,Theater District,3
205485,145,Entire home/apt,Bedford-Stuyvesant,3
205735,41,Private room,Bushwick,0
205867,120,Entire home/apt,Williamsburg,3
206071,50,Private room,Concourse Village,3
206316,157,Entire home/apt,Fort Greene,2
206772,195,Entire home/apt,Williamsburg,0
206957,70,Entire home/apt,Sheepshead Bay,3
208148,185,Entire home/apt,Williamsburg,2
208889,145,Entire home/apt,Bedford-Stuyvesant,2
209310,50,Private room,Sunnyside,3
211078,185,Entire home/apt,Greenpoint,3
211974,250,Entire home/apt,East Village,2
212109,80,Private room,West Village,0
212178,230,Entire home/apt,Theater District,3
212544,100,Entire home/apt,Gowanus,2
213272,40,Private room,Bushwick,2
213330,200,Private room,Lower East Side,2
214917,80,Private room,Emerson Hill,2
215560,79,Private room,Bedford-Stuyvesant,3
215784,95,Entire home/apt,Long Island City,0
215907,300,Entire home/apt,Upper West Side,2
217580,100,Entire home/apt,Fort Hamilton,0
218358,80,Private room,Harlem,0
219066,110,Entire home/apt,Bensonhurst,2
219482,172,Entire home/apt,Clinton Hill,0
219793,199,Entire home/apt,Lower East Side,0
219818,199,Entire home/apt,Lower East Side,2
219922,100,Private room,Harlem,2
220351,55,Private room,Harlem,3
220563,75,Private room,Bedford-Stuyvesant,2
220946,146,Entire home/apt,East Village,3
221043,250,Private room,NoHo,2
221097,116,Entire home/apt,Greenpoint,0
221618,150,Private room,Tribeca,2
222054,120,Private room,Park Slope,0
222304,199,Entire home/apt,Chelsea,2
223930,150,Entire home/apt,Prospect Heights,0
224004,69,Private room,Harlem,2
224006,300,Private room,Harlem,0
224510,230,Entire home/apt,Boerum Hill,2
225297,125,Entire home/apt,Midtown,2
225306,79,Private room,Bedford-Stuyvesant,3
225887,130,Private room,Fort Greene,3
225926,239,Private room,Clinton Hill,3
225976,75,Entire home/apt,Shore Acres,0
226021,220,Entire home/apt,Williamsburg,3
227715,80,Entire home/apt,Bedford-Stuyvesant,3
227735,288,Entire home/apt,East Village,3
228317,135,Entire home/apt,Bedford-Stuyvesant,3
228496,225,Entire home/apt,West Village,2
228517,110,Private room,Chinatown,0
228925,100,Entire home/apt,Bedford-Stuyvesant,0
228979,130,Private room,Hell's Kitchen,0
229367,89,Private room,East Village,3
229874,200,Entire home/apt,Sunset Park,2
230321,80,Entire home/apt,Bedford-Stuyvesant,2
230854,50,Private room,Concourse,3
230877,135,Entire home/apt,East Harlem,3
230956,90,Private room,East Village,3
231414,270,Private room,SoHo,0
232612,110,Entire home/apt,Bedford-Stuyvesant,3
232618,145,Entire home/apt,East Harlem,3
233189,179,Entire home/apt,Hell's Kitchen,0
233638,55,Private room,Ridgewood,0
233662,110,Private room,Midtown,0
234184,325,Entire home/apt,Harlem,3
234870,75,Private room,Long Island City,0
235552,300,Entire home/apt,South Slope,2
235651,130,Private room,West Village,0
235951,190,Entire home/apt,Midtown,3
235960,200,Entire home/apt,Lower East Side,3
236671,180,Entire home/apt,Williamsburg,3
236788,350,Entire home/apt,DUMBO,2
236806,160,Entire home/apt,East Village,2
237127,195,Entire home/apt,Kips Bay,3
237210,241,Entire home/apt,Greenwich Village,0
239055,300,Entire home/apt,Chinatown,2
239733,75,Entire home/apt,Ditmars Steinway,0
239766,100,Entire home/apt,Lower East Side,2
239826,399,Entire home/apt,Gramercy,2
239883,85,Private room,Fort Greene,3
239899,80,Entire home/apt,Prospect-Lefferts Gardens,2
240800,55,Private room,Prospect Heights,3
241140,438,Private room,Clinton Hill,0
241159,110,Entire home/apt,Bedford-Stuyvesant,2
241862,200,Entire home/apt,West Village,0
242532,279,Private room,Clinton Hill,3
242643,137,Entire home/apt,Williamsburg,2
243229,280,Entire home/apt,Bedford-Stuyvesant,0
243708,199,Entire home/apt,Williamsburg,3
245504,71,Private room,Inwood,3
245544,42,Private room,Kingsbridge,3
245574,180,Entire home/apt,Bedford-Stuyvesant,3
245607,226,Entire home/apt,Chelsea,0
246134,85,Private room,Crown Heights,0
246351,135,Entire home/apt,Gramercy,2
246916,79,Entire home/apt,Elmhurst,1
246938,154,Entire home/apt,Lower East Side,3
248865,199,Entire home/apt,Greenpoint,2
248871,700,Entire home/apt,West Village,3
249414,246,Entire home/apt,West Village,2
249618,125,Private room,Washington Heights,0
249867,100,Private room,Bedford-Stuyvesant,0
250259,295,Entire home/apt,Williamsburg,3
250311,150,Private room,Crown Heights,2
250323,119,Entire home/apt,Chinatown,2
250536,125,Private room,Harlem,0
250537,400,Entire home/apt,Harlem,0
250801,850,Entire home/apt,Greenwich Village,3
251262,129,Private room,Williamsburg,3
251277,140,Private room,Upper West Side,3
252076,115,Private room,Chinatown,3
252607,200,Entire home/apt,East Harlem,2
253332,96,Entire home/apt,Sunset Park,0
253466,199,Entire home/apt,Greenpoint,2
253471,199,Entire home/apt,Greenpoint,2
253475,199,Entire home/apt,Greenpoint,2
253548,69,Private room,Brighton Beach,0
253590,185,Entire home/apt,Upper West Side,0
253623,81,Private room,Harlem,2
253800,199,Entire home/apt,Greenpoint,2
253803,199,Entire home/apt,Greenpoint,2
253806,199,Entire home/apt,Greenpoint,2
253811,199,Entire home/apt,Greenpoint,2
253815,199,Entire home/apt,Greenpoint,2
253828,349,Private room,Greenpoint,2
253839,249,Private room,Greenpoint,2
253842,299,Private room,Greenpoint,2
253846,179,Private room,Greenpoint,2
254131,54,Private room,Jackson Heights,0
254168,599,Private room,Greenpoint,2
254409,110,Entire home/apt,Clinton Hill,2
