listing_id,host_id,neighbourhood_id,room_type_id,date_id,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
17693,68428,74,1,48,65,2,49,1.6,2,336
17747,68599,75,1,49,105,2,105,0.92,1,304
18127,69829,76,2,50,190,5,21,0.2,1,224
18152,69942,77,1,51,200,1,142,1.5,1,322
18198,70091,78,1,52,70,30,25,0.22,1,324
18590,71512,79,1,29,95,3,143,1.28,1,132
18728,71876,80,1,53,150,3,167,1.65,1,295
18764,72014,81,1,54,145,3,61,0.54,4,238
19159,73051,82,2,55,110,31,54,0.49,1,209
19169,73128,83,2,40,285,5,70,0.62,1,328
19282,73469,84,2,21,130,6,16,0.15,1,38
19319,44263,85,1,56,94,30,94,0.84,1,188
19601,74303,86,2,57,800,1,25,0.24,1,7
19812,74857,87,2,58,105,3,61,0.53,1,272
20299,62407,88,1,40,60,3,194,1.73,1,26
20300,76627,89,1,59,50,1,2,0.05,1,0
20611,72014,90,1,6,85,3,174,1.54,4,288
20724,961342,91,1,60,65,4,24,0.28,1,317
20734,78460,92,2,61,131,4,166,3.4,1,207
20755,51038,93,1,52,98,7,16,0.2,6,185
20853,79070,94,2,2,250,7,21,0.3,1,158
20913,79402,95,2,62,100,5,168,1.57,1,0
21293,44145,96,2,48,105,3,118,1.05,2,9
21456,42032,97,2,35,140,3,81,0.71,1,198
21644,82685,98,1,63,89,1,1,0.11,1,365
21794,83257,99,1,64,98,30,30,0.27,2,364
22911,87773,100,2,65,125,7,139,1.23,2,311
22918,32294,101,1,66,60,3,11,0.87,3,219
23135,11481,102,2,8,175,2,233,2.09,3,342
23501,63318,103,1,67,65,2,68,0.6,1,312
23686,93790,104,2,38,500,4,46,0.55,2,243
24143,97219,105,1,68,101,3,335,3.02,1,152
24285,97797,106,2,69,220,30,88,0.79,1,9
25235,87773,107,2,14,125,90,162,1.46,2,137
25406,105538,108,2,70,80,30,29,0.4,1,222
25696,107628,109,1,11,100,2,170,1.61,1,346
26012,109589,110,2,71,200,30,19,0.2,1,208
26362,59734,111,1,29,59,2,334,3.0,2,279
26520,51038,112,1,72,125,2,19,0.2,6,250
26559,112793,113,2,73,140,7,12,0.13,1,164
26785,42273,114,2,74,120,30,467,4.22,2,192
26933,72062,115,2,75,350,2,7,0.06,4,298
26954,115157,116,2,76,199,5,38,0.38,1,260
26969,115307,117,2,11,325,3,324,3.01,1,107
27006,115560,118,2,77,235,6,27,0.27,1,199
27385,72062,119,2,78,225,1,115,1.05,4,299
27531,118971,120,1,79,99,2,354,3.2,3,20
27644,119510,121,2,15,170,2,195,2.03,1,318
27659,119588,122,2,74,400,2,16,0.24,2,216
27759,119900,123,2,49,170,7,13,0.12,1,224
27883,120223,124,2,80,100,4,25,0.23,1,0
28321,65091,125,1,81,75,2,9,0.08,1,324
28396,6197784,126,1,82,90,1,9,0.08,1,245
28907,124352,127,2,83,150,5,21,0.19,1,189
29012,124797,128,1,84,85,15,36,0.33,1,307
29013,35935,129,1,85,70,3,63,0.58,2,310
29455,126607,130,2,86,120,3,155,1.42,3,213
29628,127608,131,1,87,89,3,260,2.35,1,278
29683,125857,132,2,88,185,5,73,0.66,1,209
30031,129352,133,1,79,50,3,193,1.86,1,0
30927,120335,134,2,24,105,3,32,0.29,1,16
31130,117287,135,1,60,130,2,50,0.45,3,234
31555,135619,136,2,15,115,29,26,0.25,1,12
31902,137292,137,1,17,77,2,2,0.02,1,178
31994,137814,138,1,8,76,2,426,3.89,3,275
32023,137974,139,2,11,125,3,227,2.09,2,163
32037,116599,140,1,15,135,4,84,0.77,3,365
32100,138579,141,2,89,250,29,3,0.03,1,34
32289,139612,142,2,90,199,3,10,0.1,1,280
32331,139874,143,2,91,140,2,4,0.04,1,0
32363,140025,144,1,92,140,2,1,0.01,1,1
32965,137974,145,2,86,115,3,124,1.72,2,170
32969,142833,146,2,18,160,3,11,0.11,1,188
33009,143027,147,2,34,195,4,240,2.19,1,214
33014,143048,148,2,34,195,3,30,0.28,1,248
33223,72014,149,1,6,80,3,200,1.86,4,262
34760,149929,150,1,13,44,8,27,1.05,5,280
35526,120291,151,1,6,156,4,79,0.74,1,307
36121,62165,152,1,93,85,15,9,0.09,1,339
36133,142684,153,1,30,125,3,155,1.61,1,1
36442,137432,154,2,94,115,15,4,0.05,1,269
36647,157798,155,1,95,69,2,34,0.32,1,10
36703,158284,156,2,96,225,45,134,1.24,1,312
36934,159370,157,2,97,125,6,27,0.25,1,189
38638,92788,158,2,49,219,4,126,1.16,2,290
38663,165789,159,2,98,475,3,23,0.27,1,230
39267,168417,160,2,99,99,1,234,2.6,2,164
39282,168525,161,1,53,69,4,202,1.86,2,53
39593,110506,162,1,100,79,30,28,0.26,1,126
39704,170510,163,2,6,135,2,309,2.86,2,3
40039,171851,164,1,101,250,3,14,0.13,1,189
40453,174025,165,2,102,250,3,4,0.08,1,365
41348,180083,166,2,51,250,2,80,2.17,1,0
41513,181167,167,2,103,80,3,2,0.04,1,0
42580,137814,168,1,8,70,2,294,3.47,3,336
42729,11481,169,2,48,165,2,150,1.4,3,342
42882,185978,170,1,30,70,2,166,1.66,1,312
43957,177536,171,1,19,50,2,47,0.94,1,37
44096,190409,172,1,104,40,1,219,2.04,3,353
44161,193360,173,2,105,150,2,193,1.78,1,177
44212,72062,174,1,11,125,1,84,0.78,4,310
44221,193722,175,2,86,196,3,114,1.06,1,0
44229,181376,176,1,8,110,2,213,2.0,2,321
44288,193637,177,2,23,170,3,86,0.8,1,246
44506,126607,178,2,60,165,3,80,0.75,3,231
45393,201297,179,2,106,150,26,38,0.36,1,225
45542,202249,180,2,107,100,2,18,1.79,1,0
45556,67778,181,1,40,65,2,206,1.92,2,0
45910,204539,182,2,25,350,8,10,0.11,5,365
45936,867225,183,1,85,99,4,122,1.18,2,233
45940,204724,184,2,56,200,4,33,0.58,1,1
46544,8198,185,2,31,150,5,52,0.5,1,18
46723,209460,186,1,108,90,3,126,1.17,4,343
46911,210746,187,1,8,120,3,51,0.48,3,250
47199,212722,188,1,8,75,3,199,1.85,1,326
47362,214148,189,2,109,175,26,30,0.29,1,364
47370,214287,190,2,110,125,3,3,0.03,1,0
47926,218404,191,2,49,275,1,41,0.38,1,299
48719,221873,192,2,21,299,2,109,1.04,1,207
50447,9744,193,2,6,135,5,151,1.43,3,162
51438,236421,194,1,3,130,14,0,0.0,2,0
51485,236655,195,1,6,83,1,285,2.69,1,7
51572,237329,196,1,48,123,1,375,3.52,1,328
51850,27848,197,1,79,55,2,52,0.49,2,365
53137,240360,198,2,15,195,5,10,1.01,1,0
53196,247432,199,1,111,80,2,11,0.48,1,0
53469,204539,200,2,112,98,30,33,0.31,5,240
53470,204539,201,1,113,140,7,6,0.06,5,365
53477,204539,202,2,77,265,7,38,0.38,5,365
54158,10889,203,2,86,249,2,358,3.44,2,164
54453,255583,204,3,114,105,6,10,0.09,1,363
54466,253385,205,1,3,200,30,0,0.0,1,365
54508,210746,206,1,115,100,2,226,2.12,3,250
54544,256161,207,2,6,121,1,104,1.0,5,247
54626,190409,208,1,40,45,1,138,1.45,3,323
54860,258164,209,1,11,100,5,204,1.92,1,192
55467,260709,210,2,18,140,2,253,3.04,1,125
55498,262138,211,1,15,71,2,23,0.22,1,91
55668,88209,212,1,116,130,2,115,1.17,1,75
55737,263414,213,2,108,199,5,129,1.22,1,286
55959,168525,214,1,117,69,4,82,1.13,2,60
55982,264928,215,1,98,68,3,37,0.35,1,0
56467,267593,216,2,15,130,1,204,2.04,1,192
56525,268014,217,2,30,195,2,69,0.65,1,58
56859,256161,218,1,118,64,1,192,1.84,5,245
57166,272006,219,2,34,140,2,17,0.16,1,292
57297,199392,220,2,8,159,2,222,2.12,1,279
57468,239208,221,2,11,189,3,205,1.96,1,0
57618,274557,222,2,10,250,3,94,0.96,1,3
57740,275459,223,2,119,239,3,7,0.07,1,351
57754,275578,224,2,40,305,2,108,1.09,1,201
57874,276291,225,2,49,155,3,222,2.1,2,232
58059,277379,226,1,87,60,1,458,4.58,2,258
58062,277394,227,1,36,135,2,21,0.26,1,272
58467,279797,228,1,120,120,7,17,0.3,1,341
59014,282927,229,2,50,150,3,41,0.39,1,244
59121,204539,230,2,121,140,14,1,0.01,5,365
59642,274782,231,2,108,135,2,69,0.67,1,12
59709,186084,232,2,15,250,4,18,0.18,2,265
59855,288031,233,2,122,250,30,82,0.78,1,0
60164,289653,234,2,11,500,4,94,0.99,1,329
60457,99212,235,2,123,225,5,10,0.1,1,91
60611,292204,236,2,124,125,28,183,1.83,2,365
60666,256161,237,1,125,92,1,189,1.82,5,253
60673,249372,238,1,126,175,2,1,0.11,1,365
60680,292630,239,2,86,99,2,127,1.22,1,320
60794,293394,240,2,127,195,4,4,0.04,1,0
60948,126607,241,2,86,140,3,135,1.3,3,192
61167,295760,242,2,128,135,2,21,0.2,1,0
61224,291112,243,2,129,500,2,35,0.34,1,348
61406,297176,244,1,23,80,14,10,2.21,2,0
61492,297769,245,1,11,120,4,171,1.8,2,353
61509,23619,246,2,130,110,200,92,0.9,1,140
62095,281764,247,2,24,65,3,238,2.3,1,2
62427,303882,248,2,60,130,50,56,0.58,1,56
62430,197755,249,2,6,99,3,111,2.13,1,68
62452,303939,250,1,88,36,2,193,1.85,6,360
62461,303939,251,1,117,37,2,147,1.44,6,0
62787,303939,252,1,18,37,2,177,1.71,6,320
62891,306545,253,2,119,175,3,185,1.78,2,326
62903,306605,254,2,26,205,9,62,0.7,2,76
62925,306739,255,2,29,285,3,124,1.22,3,279
63299,308875,256,1,11,59,2,181,1.77,2,15
63320,303939,257,1,18,36,2,333,3.19,6,340
63360,307962,258,2,8,99,5,441,4.5,1,226
63546,308652,259,1,45,39,1,45,0.46,2,365
63573,310458,260,1,131,60,14,9,0.09,2,0
63588,295128,261,1,3,90,2,0,0.0,7,349
63610,310670,262,2,61,105,2,38,0.5,13,365
63657,170510,263,2,88,135,2,248,2.39,2,11
63693,306545,264,2,19,390,5,143,1.38,2,316
63719,311286,265,1,132,70,3,36,0.41,4,281
63913,312288,266,1,3,75,7,0,0.0,2,323
64000,312722,267,1,133,60,17,14,0.14,4,362
64015,146944,268,2,3,200,3,0,0.0,1,0
64107,313317,269,1,8,100,3,279,2.69,1,301
64277,311286,270,1,50,70,4,18,0.22,4,189
64314,314256,271,1,60,110,6,50,3.55,1,0
64365,314582,272,1,61,60,2,227,2.27,2,287
64707,7310,273,2,50,90,14,1,0.16,1,14
64837,46978,274,1,11,68,2,203,1.96,2,86
65019,317809,275,2,51,115,2,210,2.1,1,261
65268,319092,276,1,134,75,5,64,0.67,1,68
65556,320422,277,1,3,60,3,0,0.0,1,0
65562,320450,278,2,66,129,7,5,0.15,1,231
65615,320761,279,2,13,130,10,49,0.48,1,152
65660,320538,280,2,35,95,4,132,1.27,1,46
65813,321756,281,1,50,75,3,20,0.26,1,364
65834,321934,282,2,135,175,2,11,0.11,1,246
66008,322884,283,2,15,190,3,51,0.57,1,288
66026,322716,284,1,40,49,21,15,0.15,5,331
66251,324460,285,2,88,212,3,67,1.31,1,51
66275,314941,286,1,11,95,1,109,1.11,3,364
66451,325389,287,2,136,140,2,9,0.11,1,254
66718,136227,288,2,11,135,6,187,1.87,1,189
66741,327673,289,2,11,150,2,214,2.08,2,263
66974,329436,290,2,15,190,3,69,0.79,2,258
67288,101597,291,2,21,124,28,22,0.26,1,103
67299,330347,292,2,137,135,30,56,0.56,1,42
67397,332189,293,1,6,122,3,93,0.93,1,246
68099,323517,294,1,88,109,1,104,1.05,2,364
68305,338454,295,1,138,85,30,64,0.68,1,318
68403,240427,296,2,8,145,3,127,1.25,2,72
68735,342054,297,2,30,195,11,30,0.32,1,249
68765,282655,298,2,61,250,2,106,1.34,3,272
68900,343250,299,1,139,125,3,6,0.1,1,325
68974,281229,300,2,86,575,2,191,1.88,1,298
69894,352168,301,2,125,150,30,48,0.55,1,35
69921,155689,302,1,13,70,5,47,0.49,1,203
70095,353965,303,1,40,90,2,120,1.27,1,132
70128,354330,304,1,140,65,3,52,0.63,1,5
70609,72062,305,2,29,500,2,48,0.48,4,297
71010,361855,306,2,119,250,3,32,0.43,2,276
71248,363834,307,2,34,125,25,43,0.42,1,102
71366,364955,308,2,88,200,30,39,0.44,1,251
71384,365153,309,2,141,229,1,50,0.5,1,188
71812,369015,310,2,50,90,30,4,0.35,2,346
72190,373085,311,2,142,110,13,38,0.39,1,0
72265,340692,312,1,29,59,3,29,0.36,1,15
74073,211877,313,2,11,195,4,59,0.6,1,71
74240,389924,314,2,78,169,1,68,0.67,2,215
74333,331328,315,2,143,113,14,26,0.27,3,253
74404,391325,316,2,144,250,14,31,0.31,1,78
74680,265109,317,2,52,115,2,198,2.01,1,257
74860,394752,318,1,145,55,2,1,0.01,1,0
75193,308875,319,1,6,69,2,220,2.17,2,8
75635,401696,320,2,61,150,3,286,2.81,1,191
76761,118971,321,2,14,169,2,398,3.97,3,182
77765,417504,322,1,15,179,3,36,0.36,28,79
77936,134355,323,1,24,150,3,36,0.36,1,49
78919,422561,324,2,146,135,4,6,0.1,1,0
79067,425506,325,2,147,350,6,14,0.3,1,156
79782,430188,326,1,96,120,14,76,0.76,6,343
80493,434987,327,1,104,71,2,182,1.81,1,200
80684,417504,328,1,148,349,3,8,0.09,28,60
80700,417504,329,1,119,349,3,7,0.07,28,60
80924,438133,330,2,149,165,30,34,0.51,2,189
81739,417504,331,1,150,249,3,2,0.02,28,60
82549,448312,332,1,151,100,3,66,0.68,2,0
82550,448312,333,2,40,200,3,80,0.85,2,106
82638,449787,334,2,115,169,4,240,2.4,1,276
82928,451545,335,2,18,185,3,46,1.07,1,248
83243,453519,336,2,117,65,2,228,2.27,1,194
83446,454756,337,2,152,130,35,5,0.05,1,135
83722,456638,338,2,153,199,30,8,0.11,1,30
83847,410094,339,2,50,225,2,33,0.33,1,0
84010,417504,340,1,61,179,3,13,0.14,28,81
84059,459054,341,2,62,150,5,5,0.05,1,0
84659,462776,342,2,49,139,1,388,3.88,1,142
84905,464506,343,1,11,95,3,223,2.22,2,60
85094,322716,344,2,154,79,15,11,0.11,5,179
86215,327900,345,2,8,150,2,151,1.51,2,52
89427,116599,346,2,3,650,5,0,0.0,3,365
89621,209460,347,2,14,90,3,218,2.26,4,324
93313,25183,348,2,11,120,2,75,0.76,2,237
94035,35375,349,1,51,80,1,42,1.21,2,365
94209,503800,350,2,3,100,90,0,0.0,1,365
94477,478395,351,2,4,175,2,370,3.74,1,204
94783,473113,352,2,26,120,5,104,1.04,1,272
95747,509341,353,2,155,140,7,13,0.13,1,0
95883,509918,354,2,156,200,5,4,0.07,1,9
96471,116599,355,1,78,165,4,11,0.11,3,365
98330,31374,356,2,157,125,4,1,0.01,3,181
98663,520279,357,2,90,130,30,19,0.19,1,189
99070,522065,358,3,60,65,7,131,1.31,2,0
99085,522164,359,2,64,123,30,15,0.15,1,189
100002,523218,360,1,34,67,2,136,1.37,1,296
100184,526653,361,1,158,50,1,43,0.45,1,88
100186,526805,362,2,14,130,7,98,0.99,1,35
101053,530032,363,1,159,100,3,31,0.31,1,0
102995,178043,364,2,160,212,21,45,0.46,1,35
103161,465278,365,2,49,190,3,124,1.76,1,359
103311,417504,366,1,161,599,3,9,0.09,28,60
103806,251176,367,2,27,249,5,166,1.68,2,365
105469,547386,368,1,162,70,27,13,0.13,1,335
105510,322716,369,2,134,100,30,15,0.16,5,282
106363,551055,370,1,49,60,3,380,3.83,2,247
106647,552679,371,2,29,135,2,86,0.87,1,102
107630,306739,372,2,86,175,3,248,2.53,3,274
107895,3088389,373,2,19,120,5,49,0.56,1,201
110739,568568,374,2,87,169,18,54,0.57,1,98
112100,572527,375,2,163,165,7,3,0.03,1,157
112304,573316,376,1,164,90,1,1,0.02,1,0
112359,571952,377,2,165,225,2,56,0.57,1,312
112435,181376,378,1,119,95,2,163,1.66,2,331
113265,314582,379,1,26,55,2,247,2.51,2,275
113945,275582,380,1,123,85,10,116,1.17,1,174
114123,579495,381,2,108,199,14,27,0.28,2,223
114229,314941,382,2,99,211,1,52,0.6,3,361
114969,582598,383,2,166,145,6,39,0.4,1,0
115535,567187,384,1,23,65,14,35,0.35,1,283
115678,127772,385,2,11,99,1,320,3.23,1,220
115748,585166,386,2,29,110,4,30,0.32,1,363
116940,209460,387,2,8,80,3,225,2.27,4,315
117425,593115,388,2,70,150,30,95,0.96,1,281
118061,2248897,389,2,14,110,4,70,0.75,1,283
118430,585458,390,1,66,290,2,35,0.36,1,20
118680,599354,391,1,3,87,2,0,0.0,1,0
120362,138069,392,2,18,190,4,50,0.51,1,331
121687,262812,393,2,11,200,2,29,0.31,1,36
121861,611716,394,2,167,165,2,23,0.23,2,7
123784,617990,395,2,29,110,2,142,1.44,2,301
125053,622460,396,2,15,395,2,70,0.73,1,170
125163,622855,397,1,118,99,2,38,0.54,2,307
125594,308652,398,1,108,39,1,82,0.94,2,365
126443,627217,399,2,35,189,2,403,4.1,3,201
126816,620288,400,1,168,85,1,3,0.03,1,0
127387,23276,401,2,169,260,30,3,0.03,1,316
128975,256161,402,2,30,122,1,116,1.18,5,271
131154,275563,403,2,35,165,2,175,1.79,1,139
132516,85330,404,2,15,97,3,28,1.21,3,209
132570,651390,405,2,170,170,4,24,0.25,1,0
132695,507186,406,2,171,125,2,15,0.15,1,0
133025,653405,407,1,115,130,4,105,1.07,1,193
134934,652842,408,2,172,225,10,22,0.38,1,52
135393,663764,409,1,8,50,2,263,2.69,2,136
135465,663879,410,2,86,170,3,86,0.91,2,286
135706,665013,411,2,33,132,4,10,0.1,1,0
136493,663384,412,2,27,250,7,18,0.21,1,18
138216,674970,413,2,173,141,5,8,0.21,1,9
139624,680818,414,2,174,64,20,70,0.73,1,3
140133,622866,415,2,4,249,3,150,1.55,1,277
140425,683975,416,1,175,79,2,115,1.18,1,0
140973,686147,417,2,60,185,2,69,0.71,1,233
141154,686768,418,2,6,120,3,232,2.41,1,221
141335,687361,419,2,176,495,1,35,0.41,1,355
141890,689661,420,2,177,375,3,18,0.21,1,0
141984,630453,421,2,117,175,3,68,0.69,1,277
142069,277747,422,2,178,150,4,22,0.23,1,0
144087,616825,423,2,38,259,8,17,0.17,1,343
144148,299755,424,1,122,96,1,34,0.58,1,0
145064,404424,425,2,179,145,7,8,0.08,1,0
145188,703156,426,2,3,200,4,0,0.0,1,0
145994,706418,427,2,138,95,5,2,0.08,1,0
146754,709434,428,2,77,250,4,52,0.72,1,188
147586,709334,429,2,29,295,2,74,0.76,2,264
148201,715807,430,2,180,175,3,18,0.19,1,0
148259,716064,431,2,123,451,2,72,0.86,1,331
148825,718349,432,2,13,165,2,191,2.18,1,236
149287,720320,433,2,3,250,4,0,0.0,1,0
149777,716306,434,2,11,77,1,197,2.49,1,309
150804,726333,435,2,51,250,4,19,0.2,1,0
151199,722320,436,2,87,129,1,414,4.34,1,245
151478,216191,437,1,181,98,2,8,0.09,4,0
152071,731855,438,2,3,150,2,0,0.0,1,8
152078,731904,439,1,182,95,7,25,0.3,1,359
152259,256161,440,1,53,55,3,119,1.22,5,333
152263,732535,441,2,51,300,2,203,2.14,3,258
152520,733894,442,1,183,42,40,53,0.55,3,236
153405,737585,443,2,29,125,2,104,1.09,1,22
153780,739499,444,1,14,175,3,175,1.8,1,236
154934,745069,445,1,184,75,3,38,0.42,3,365
155296,656841,446,2,185,255,45,39,0.5,1,89
157673,757166,447,2,29,72,31,88,0.91,1,164
158061,758441,448,1,186,165,1,27,0.28,4,311
158176,573065,449,2,13,165,5,117,1.28,1,23
158290,759583,450,1,79,75,3,43,0.44,2,365
158913,762563,451,2,187,130,5,4,0.05,1,0
158955,465589,452,2,13,139,2,385,4.0,1,222
159749,54275,453,1,15,88,1,64,0.68,3,238
159815,54275,454,1,8,80,1,39,0.41,3,218
159913,759883,455,1,87,150,2,37,1.79,1,0
160609,769247,456,2,17,200,3,10,0.12,1,0
160994,770831,457,2,8,200,2,103,1.08,1,235
161366,733894,458,1,23,42,40,41,0.43,3,246
161394,772300,459,1,188,90,6,3,0.03,1,0
161996,1856604,460,2,49,295,3,227,2.33,1,247
162493,776490,461,2,97,450,5,37,0.79,1,15
162508,776645,462,2,14,130,2,29,0.35,1,119
163627,242506,463,1,189,89,3,205,2.31,3,0
163809,781647,464,2,118,198,5,42,0.44,2,234
163814,627217,465,2,4,99,2,280,2.92,3,257
163836,32169,466,1,99,46,4,86,0.89,3,350
164989,69439,467,1,29,140,2,54,0.56,1,221
165080,787273,468,2,190,500,7,7,0.07,1,0
165461,867225,469,1,17,75,5,57,0.59,2,201
165824,733894,470,1,64,33,44,31,0.32,3,161
166006,791287,471,2,191,250,31,188,1.94,1,259
166172,792159,472,1,35,60,3,480,6.7,1,0
166541,793620,473,1,21,75,2,34,0.35,1,222
166983,795640,474,2,192,350,5,6,0.06,1,0
167013,306605,475,2,193,205,9,3,0.04,2,76
167017,795889,476,2,188,219,5,2,0.03,1,0
167222,22486,477,1,194,60,1,20,0.21,6,258
167482,789257,478,2,78,185,2,129,1.33,1,14
168084,800982,479,2,40,190,3,147,1.6,1,27
168123,720558,480,2,15,105,28,101,1.06,1,167
168546,803086,481,2,164,250,2,11,0.12,2,68
168810,747698,482,2,195,175,65,11,0.12,1,358
169002,805344,483,1,29,65,2,41,0.43,2,59
169152,806112,484,2,196,75,2,87,1.09,1,0
169306,806214,485,1,2,37,4,117,1.21,1,232
169464,806774,486,2,45,85,2,86,0.89,2,15
169483,807642,487,2,3,106,7,0,0.0,2,0
170420,812814,488,2,197,79,2,15,0.16,1,0
170761,67778,489,1,18,85,2,35,0.55,2,161
171776,803086,490,1,198,170,2,17,0.18,2,88
172700,302772,491,1,197,115,3,3,0.04,2,337
172870,781647,492,1,199,89,5,43,0.47,2,247
173072,826192,493,3,51,49,3,168,4.6,1,248
173151,826459,494,1,8,91,3,241,2.49,1,287
173742,829652,495,2,11,400,2,105,1.13,1,304
174527,833926,496,2,65,150,2,11,0.46,1,0
174966,836168,497,2,200,2000,30,30,0.33,11,0
176135,842125,498,2,201,97,3,31,0.32,1,193
176653,844862,499,1,202,100,4,49,0.51,2,43
176962,846309,500,2,203,179,4,23,0.24,1,25
177421,848748,501,2,8,500,2,20,0.21,2,127
177495,848960,502,2,8,429,10,18,0.9,1,0
177606,849492,503,2,11,189,6,90,0.95,1,303
179670,21475,504,1,61,120,2,99,1.04,1,345
179741,314941,505,2,14,300,1,6,0.06,3,115
180507,864735,506,2,204,107,30,21,0.22,8,200
180792,864735,507,2,205,95,30,24,0.26,8,271
181972,872121,508,2,72,199,2,111,1.17,1,12
182069,39260,509,2,86,120,2,86,0.91,1,268
182095,872805,510,2,206,199,15,66,0.69,2,89
182177,873273,511,2,86,125,2,271,2.84,2,347
182649,876054,512,1,48,70,2,227,2.4,1,37
185266,889106,513,1,51,75,4,80,1.55,1,0
187488,871727,514,1,207,100,30,5,0.07,1,359
187566,279078,515,2,117,99,2,187,1.97,2,287
187986,904833,516,2,208,250,1,2,0.02,1,0
188146,906200,517,2,209,350,6,1,0.02,1,233
188661,909146,518,2,210,170,3,67,0.7,1,129
188674,909234,519,2,211,165,1,63,0.68,1,0
189135,179020,520,1,15,99,1,89,1.0,1,353
189181,912541,521,1,212,255,4,1,0.02,1,365
189732,489400,522,2,13,169,3,177,1.86,1,297
189787,915640,523,2,40,99,4,90,0.94,1,56
190267,918866,524,2,35,169,7,39,0.41,1,44
190542,920542,525,2,38,160,3,42,0.44,1,355
190968,922922,526,2,120,215,3,33,0.35,1,156
190974,874471,527,2,68,130,3,179,2.02,1,273
191075,923915,528,1,213,110,3,81,0.85,2,274
193105,936114,529,1,13,150,28,43,0.45,2,258
193333,302936,530,1,12,65,30,52,0.54,1,276
193393,938056,531,1,88,75,2,160,1.68,1,65
193853,48599,532,2,214,149,6,23,0.27,2,0
