neighbourhood_group,neighbourhood,latitude,longitude,neighbourhood_id
Brooklyn,Greenpoint,40.73494,-73.9503,133
Manhattan,Lower East Side,40.71341,-73.98856,134
Manhattan,Hell's Kitchen,40.76754,-73.98399,135
Manhattan,West Village,40.73442,-74.00303,136
Brooklyn,Flatlands,40.63188,-73.93248,137
Brooklyn,Clinton Hill,40.6873,-73.9634,138
Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,139
Brooklyn,Clinton Hill,40.6863,-73.96765,140
Brooklyn,Greenpoint,40.73409,-73.95348,141
Brooklyn,Williamsburg,40.71561,-73.94835,142
Brooklyn,Cobble Hill,40.6857,-73.99183,143
Queens,Flushing,40.74028,-73.83168,144
Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,145
Brooklyn,Williamsburg,40.71596,-73.93938,146
Brooklyn,Williamsburg,40.71492,-73.95935,147
Manhattan,East Village,40.72354,-73.98295,148
Brooklyn,Williamsburg,40.71165,-73.96087,149
Brooklyn,Fort Greene,40.69101,-73.97312,150
Manhattan,West Village,40.73474,-74.00101,151
Brooklyn,Prospect Heights,40.67386,-73.96641,152
Brooklyn,Williamsburg,40.71536,-73.96057,153
Brooklyn,Prospect Heights,40.6741,-73.96595,154
Manhattan,East Harlem,40.79295,-73.93997,155
Manhattan,West Village,40.73226,-74.00401,156
Brooklyn,Williamsburg,40.71363,-73.96398,157
Manhattan,Upper East Side,40.77711,-73.9527,158
Brooklyn,Boerum Hill,40.68559,-73.98094,159
Manhattan,Upper East Side,40.77456,-73.95323,160
Brooklyn,Williamsburg,40.71088,-73.95055,161
Queens,Sunnyside,40.74559,-73.92313,162
Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,163
Brooklyn,DUMBO,40.70207,-73.98571,164
Manhattan,Upper East Side,40.76123,-73.9642,165
Brooklyn,Gowanus,40.66858,-73.99083,166
Manhattan,Harlem,40.82704,-73.94907,167
Brooklyn,Clinton Hill,40.68843,-73.96408,168
Brooklyn,Carroll Gardens,40.6783,-74.00135,169
Staten Island,St. George,40.64524,-74.08088,170
Brooklyn,Bushwick,40.70641,-73.91765,171
Bronx,Highbridge,40.83232,-73.93184,172
Brooklyn,Williamsburg,40.71045,-73.9677,173
Manhattan,East Village,40.72518,-73.98034,174
Manhattan,Financial District,40.70666,-74.01374,175
Brooklyn,Fort Greene,40.69098,-73.97113,176
Manhattan,West Village,40.73756,-74.00405,177
Manhattan,Harlem,40.81526,-73.94791,178
Manhattan,West Village,40.73423,-74.0046,179
Manhattan,Harlem,40.82374,-73.9373,180
Brooklyn,Fort Greene,40.68863,-73.97691,181
Queens,Ridgewood,40.70382,-73.89797,182
Manhattan,Morningside Heights,40.80549,-73.95924,183
Brooklyn,Williamsburg,40.71627,-73.9587,184
Brooklyn,Park Slope,40.67994,-73.97863,185
Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,186
Brooklyn,Prospect Heights,40.67868,-73.97307,187
Manhattan,Upper East Side,40.76834,-73.95334,188
Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,189
Manhattan,Chelsea,40.74031,-73.99999,190
Manhattan,Hell's Kitchen,40.76307,-73.99665,191
Manhattan,Lower East Side,40.71882,-73.98852,192
Brooklyn,South Slope,40.6693,-73.98804,193
Manhattan,Upper East Side,40.77333,-73.95199,194
Manhattan,Lower East Side,40.72319,-73.99201,195
Manhattan,Chelsea,40.74859,-73.99671,196
Queens,Jamaica,40.67252,-73.76597,197
Manhattan,Hell's Kitchen,40.76244,-73.99271,198
Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,199
Queens,Middle Village,40.71722,-73.87856,200
Queens,Ridgewood,40.70234,-73.89816,201
Queens,Middle Village,40.71546,-73.87854,202
Brooklyn,Williamsburg,40.7195,-73.95976,203
Manhattan,Hell's Kitchen,40.76548,-73.98474,204
Manhattan,Harlem,40.80234,-73.95603,205
Brooklyn,Prospect Heights,40.6787,-73.97262,206
Manhattan,Harlem,40.81035,-73.94598,207
Bronx,Highbridge,40.83075,-73.93058,208
Manhattan,East Harlem,40.79958,-73.94275,209
Brooklyn,Williamsburg,40.71625,-73.93845,210
Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,211
Manhattan,NoHo,40.72773,-73.99134,212
Manhattan,West Village,40.72861,-74.0049,213
Brooklyn,Williamsburg,40.70979,-73.95162,214
Brooklyn,Fort Greene,40.68656,-73.97525,215
Manhattan,East Village,40.72752,-73.98432,216
Brooklyn,Greenpoint,40.729,-73.95829,217
Manhattan,Harlem,40.81219,-73.94499,218
Queens,Ditmars Steinway,40.77185,-73.90502,219
Brooklyn,Cobble Hill,40.68926,-73.99386,220
Manhattan,East Village,40.72821,-73.98701,221
Manhattan,Hell's Kitchen,40.7672,-73.98508,222
Manhattan,East Village,40.73012,-73.99053,223
Manhattan,Flatiron District,40.7403,-73.98498,224
Manhattan,Harlem,40.80931,-73.94343,225
Manhattan,Harlem,40.8251,-73.94287,226
Brooklyn,Windsor Terrace,40.6585,-73.98397,227
Manhattan,Roosevelt Island,40.76193,-73.9501,228
Manhattan,Lower East Side,40.72052,-73.98589,229
Queens,Ridgewood,40.70411,-73.89934,230
Brooklyn,Greenpoint,40.73401,-73.95967,231
Manhattan,Chinatown,40.71756,-73.99503,232
Manhattan,Midtown,40.7589,-73.96991,233
Manhattan,SoHo,40.72003,-74.00262,234
Manhattan,Greenwich Village,40.73194,-73.99474,235
Manhattan,East Harlem,40.79163,-73.94573,236
Manhattan,Harlem,40.8118,-73.94434,237
Manhattan,Harlem,40.81583,-73.94707,238
Manhattan,East Village,40.72654,-73.98049,239
Manhattan,Upper West Side,40.80021,-73.96071,240
Manhattan,East Harlem,40.80942,-73.93936,241
Manhattan,Little Italy,40.71961,-73.9954,242
Manhattan,Chelsea,40.74358,-74.00027,243
Manhattan,Harlem,40.80335,-73.9575,244
Manhattan,Chinatown,40.71445,-73.9908,245
Manhattan,Midtown,40.75749,-73.96897,246
Brooklyn,East Flatbush,40.64446,-73.9503,247
Manhattan,East Village,40.7268,-73.99079,248
Brooklyn,Bushwick,40.688,-73.9171,249
Staten Island,Tompkinsville,40.63536,-74.08537,250
Staten Island,Tompkinsville,40.63627,-74.08543,251
Staten Island,Tompkinsville,40.63518,-74.08546,252
Manhattan,East Village,40.72477,-73.98161,253
Manhattan,Chelsea,40.74238,-73.99567,254
Brooklyn,Greenpoint,40.72945,-73.95511,255
Brooklyn,Williamsburg,40.70763,-73.95177,256
Staten Island,Tompkinsville,40.63481,-74.08519,257
Queens,Astoria,40.75384,-73.91433,258
Brooklyn,Kensington,40.64106,-73.97426,259
Brooklyn,Park Slope,40.66793,-73.98327,260
Bronx,Clason Point,40.81309,-73.85514,261
Bronx,Eastchester,40.88057,-73.83572,262
Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,263
Manhattan,East Village,40.72185,-73.98246,264
Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,265
Manhattan,Inwood,40.86648,-73.9263,266
Brooklyn,Williamsburg,40.7069,-73.95467,267
Manhattan,East Village,40.72807,-73.98594,268
Brooklyn,Crown Heights,40.6778,-73.94339,269
Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701,270
Brooklyn,Crown Heights,40.6761,-73.9529,271
Brooklyn,Crown Heights,40.67586,-73.95155,272
Manhattan,Little Italy,40.71702,-73.99811,273
Manhattan,East Village,40.72321,-73.98157,274
Manhattan,Upper West Side,40.77956,-73.98098,275
Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,276
Brooklyn,Williamsburg,40.71368,-73.9626,277
Manhattan,East Village,40.72956,-73.98158,278
Brooklyn,Williamsburg,40.71069,-73.95175,279
Brooklyn,Williamsburg,40.70863,-73.94641,280
Manhattan,Harlem,40.82888,-73.94307,281
Brooklyn,Park Slope,40.67319,-73.97323,282
Brooklyn,Carroll Gardens,40.67846,-73.99443,283
Brooklyn,Crown Heights,40.6715,-73.94808,284
Manhattan,East Village,40.72681,-73.98534,285
Manhattan,Lower East Side,40.71904,-73.99392,286
Brooklyn,Williamsburg,40.71031,-73.9583,287
Manhattan,Harlem,40.81322,-73.95306,288
Brooklyn,Park Slope,40.67732,-73.98225,289
Brooklyn,Gowanus,40.68076,-73.9896,290
Manhattan,East Harlem,40.79603,-73.94903,291
Brooklyn,Williamsburg,40.71492,-73.96282,292
Manhattan,Morningside Heights,40.80393,-73.95838,293
Manhattan,Upper West Side,40.80082,-73.9652,294
Manhattan,Harlem,40.82976,-73.94867,295
Brooklyn,Bedford-Stuyvesant,40.683,-73.91981,296
Manhattan,Upper West Side,40.78971,-73.9729,297
Brooklyn,Carroll Gardens,40.67817,-73.99495,298
Brooklyn,Greenpoint,40.73119,-73.95578,299
Manhattan,Little Italy,40.71943,-73.99627,300
Manhattan,Upper West Side,40.78,-73.98249,301
Brooklyn,Bushwick,40.70514,-73.91922,302
Manhattan,Inwood,40.86713,-73.92811,303
Manhattan,East Village,40.73198,-73.98881,304
Manhattan,East Village,40.72542,-73.97986,305
Manhattan,Washington Heights,40.83494,-73.93869,306
Manhattan,Chinatown,40.71659,-73.98945,307
Manhattan,West Village,40.72966,-74.00243,308
Brooklyn,Greenpoint,40.72898,-73.95552,309
Bronx,Kingsbridge,40.87207,-73.90193,310
Manhattan,Upper West Side,40.77728,-73.97818,311
Brooklyn,Greenpoint,40.72646,-73.95341,312
Brooklyn,Williamsburg,40.71015,-73.96101,313
Brooklyn,Williamsburg,40.71903,-73.9597,314
Manhattan,East Harlem,40.80892,-73.93985,315
Manhattan,Harlem,40.80276,-73.9567,316
Queens,Astoria,40.77635,-73.93426,317
Brooklyn,Greenpoint,40.72488,-73.95018,318
Brooklyn,Williamsburg,40.71398,-73.95763,319
Manhattan,Lower East Side,40.71876,-73.98394,320
Brooklyn,South Slope,40.66552,-73.99019,321
Brooklyn,Greenpoint,40.73749,-73.95292,322
Manhattan,Hell's Kitchen,40.76248,-73.9913,323
Brooklyn,Boerum Hill,40.68674,-73.98876,324
Brooklyn,Clinton Hill,40.6848,-73.96219,325
Brooklyn,Williamsburg,40.70516,-73.95455,326
Manhattan,East Village,40.72329,-73.98486,327
Brooklyn,Greenpoint,40.73776,-73.95327,328
Brooklyn,Greenpoint,40.73738,-73.95482,329
Brooklyn,Park Slope,40.67542,-73.98142,330
Brooklyn,Greenpoint,40.73842,-73.95312,331
Brooklyn,Brooklyn Heights,40.6926,-73.99832,332
Brooklyn,Brooklyn Heights,40.69441,-73.99771,333
Manhattan,East Village,40.72399,-73.98374,334
Brooklyn,Bedford-Stuyvesant,40.6824,-73.94615,335
Brooklyn,Bushwick,40.68949,-73.91708,336
Brooklyn,Fort Greene,40.68819,-73.97258,337
Brooklyn,Williamsburg,40.7205,-73.96015,338
Manhattan,East Village,40.72451,-73.98094,339
Brooklyn,Greenpoint,40.73813,-73.95394,340
Brooklyn,Crown Heights,40.67591,-73.94715,341
Manhattan,East Village,40.72843,-73.98895,342
Manhattan,Two Bridges,40.71271,-73.99776,343
Brooklyn,Crown Heights,40.66966,-73.94735,344
Manhattan,Lower East Side,40.71965,-73.98766,345
Brooklyn,Clinton Hill,40.68613,-73.96536,346
Brooklyn,Bedford-Stuyvesant,40.68048,-73.94911,347
Brooklyn,Bedford-Stuyvesant,40.68314,-73.93963,348
Queens,Astoria,40.75961,-73.91117,349
Brooklyn,Crown Heights,40.67473,-73.94494,350
Brooklyn,Bedford-Stuyvesant,40.69305,-73.93185,351
Brooklyn,Crown Heights,40.67174,-73.95663,352
Brooklyn,Williamsburg,40.71055,-73.95098,353
Brooklyn,Bedford-Stuyvesant,40.69465,-73.95458,354
Brooklyn,Clinton Hill,40.68413,-73.96542,355
Manhattan,Kips Bay,40.73877,-73.97707,356
Manhattan,Chelsea,40.74893,-73.99544,357
Manhattan,East Harlem,40.79406,-73.94102,358
Brooklyn,Fort Greene,40.68795,-73.97332,359
Manhattan,Washington Heights,40.85295,-73.93361,360
Queens,Queens Village,40.72413,-73.76133,361
Brooklyn,Gowanus,40.66918,-73.99187,362
Brooklyn,Williamsburg,40.71125,-73.95613,363
Manhattan,Upper West Side,40.78558,-73.9696,364
Brooklyn,Williamsburg,40.71577,-73.96053,365
Brooklyn,Greenpoint,40.73861,-73.95485,366
Manhattan,East Village,40.72577,-73.98745,367
Queens,Rockaway Beach,40.58615,-73.81245,368
Brooklyn,Crown Heights,40.67086,-73.94872,369
Manhattan,Harlem,40.82773,-73.95231,370
Brooklyn,Bedford-Stuyvesant,40.68505,-73.95684,371
Brooklyn,Greenpoint,40.72911,-73.95493,372
Manhattan,Upper West Side,40.77944,-73.98567,373
Manhattan,Midtown,40.74503,-73.98876,374
Brooklyn,Crown Heights,40.67539,-73.96093,375
Manhattan,Harlem,40.8054,-73.95189,376
Manhattan,Upper East Side,40.78491,-73.9508,377
Brooklyn,Fort Greene,40.69088,-73.97307,378
Brooklyn,Crown Heights,40.67555,-73.95057,379
Manhattan,Hell's Kitchen,40.75835,-73.99193,380
Brooklyn,South Slope,40.66527,-73.9886,381
Manhattan,Lower East Side,40.71895,-73.99434,382
Manhattan,Midtown,40.75579,-73.96699,383
Manhattan,Harlem,40.82399,-73.95328,384
Manhattan,Harlem,40.81822,-73.94095,385
Queens,Astoria,40.76434,-73.92132,386
Brooklyn,Crown Heights,40.67705,-73.94925,387
Brooklyn,Brooklyn Heights,40.69263,-73.99438,388
Brooklyn,Bedford-Stuyvesant,40.68448,-73.92747,389
Manhattan,Chelsea,40.74412,-74.00208,390
Manhattan,East Village,40.73067,-73.98702,391
Brooklyn,Williamsburg,40.70665,-73.94061,392
Brooklyn,Williamsburg,40.72063,-73.95952,393
Brooklyn,Park Slope,40.67644,-73.98082,394
Manhattan,Harlem,40.80481,-73.94794,395
Manhattan,East Village,40.72533,-73.99143,396
Brooklyn,Bedford-Stuyvesant,40.68569,-73.93038,397
Brooklyn,Kensington,40.64302,-73.97255,398
Manhattan,East Village,40.72939,-73.98857,399
Manhattan,Upper West Side,40.79918,-73.96607,400
Brooklyn,Gowanus,40.66862,-73.9926,401
Manhattan,Harlem,40.81333,-73.94453,402
Brooklyn,Greenpoint,40.72473,-73.95199,403
Queens,Forest Hills,40.70925,-73.85262,404
Manhattan,West Village,40.73215,-74.00922,405
Brooklyn,Williamsburg,40.71109,-73.94332,406
Manhattan,Murray Hill,40.7463,-73.97926,407
Brooklyn,Williamsburg,40.71823,-73.95849,408
Brooklyn,East Flatbush,40.651,-73.94886,409
Brooklyn,Fort Greene,40.68626,-73.97598,410
Manhattan,Chelsea,40.74488,-74.001,411
Brooklyn,Park Slope,40.67632,-73.97616,412
Brooklyn,Greenpoint,40.72212,-73.94254,413
Brooklyn,Crown Heights,40.67456,-73.95151,414
Brooklyn,Williamsburg,40.71363,-73.96019,415
Brooklyn,Crown Heights,40.6755,-73.95878,416
Manhattan,East Village,40.72274,-73.97581,417
Brooklyn,Boerum Hill,40.6858,-73.9828,418
Brooklyn,Park Slope,40.67535,-73.97654,419
Manhattan,Nolita,40.72255,-73.99346,420
Manhattan,Nolita,40.72094,-73.99706,421
Manhattan,East Village,40.72485,-73.97813,422
Manhattan,Harlem,40.80473,-73.9532,423
Manhattan,East Village,40.72217,-73.98419,424
Brooklyn,Williamsburg,40.71943,-73.9565,425
Manhattan,Chelsea,40.74249,-74.00329,426
Manhattan,Upper West Side,40.79264,-73.97294,427
Brooklyn,Windsor Terrace,40.65749,-73.97675,428
Manhattan,Harlem,40.80474,-73.94688,429
Manhattan,Greenwich Village,40.72831,-74.00177,430
Brooklyn,Williamsburg,40.71541,-73.94144,431
Manhattan,Upper West Side,40.79765,-73.96245,432
Manhattan,Upper East Side,40.78508,-73.95332,433
Bronx,Woodlawn,40.89747,-73.8639,434
Manhattan,Lower East Side,40.72008,-73.98404,435
Queens,Astoria,40.75725,-73.91098,436
Brooklyn,Williamsburg,40.7102,-73.94495,437
Brooklyn,Park Slope,40.67359,-73.97904,438
Manhattan,East Village,40.72674,-73.9782,439
Manhattan,Harlem,40.81156,-73.94571,440
Manhattan,Harlem,40.80497,-73.95016,441
Queens,Sunnyside,40.7385,-73.91806,442
Brooklyn,Greenpoint,40.72937,-73.95671,443
Manhattan,East Village,40.72587,-73.98438,444
Manhattan,Harlem,40.82426,-73.9463,445
Brooklyn,Williamsburg,40.71624,-73.96272,446
Brooklyn,Bedford-Stuyvesant,40.68101,-73.94081,447
Brooklyn,Bedford-Stuyvesant,40.68669,-73.91989,448
Brooklyn,Williamsburg,40.71534,-73.95914,449
Brooklyn,Clinton Hill,40.68288,-73.96024,450
Brooklyn,Greenpoint,40.72489,-73.95494,451
Brooklyn,Williamsburg,40.70867,-73.94284,452
Brooklyn,Bedford-Stuyvesant,40.67963,-73.93908,453
Brooklyn,Bedford-Stuyvesant,40.6798,-73.93908,454
Manhattan,Chelsea,40.74346,-73.99882,455
Manhattan,Upper West Side,40.77724,-73.98109,456
Manhattan,East Village,40.72972,-73.97995,457
Queens,Sunnyside,40.74102,-73.91681,458
Brooklyn,Williamsburg,40.71309,-73.94128,459
Manhattan,Harlem,40.83096,-73.94633,460
Brooklyn,Williamsburg,40.71323,-73.95745,461
Brooklyn,Crown Heights,40.67212,-73.9506,462
Brooklyn,Williamsburg,40.71023,-73.96665,463
Manhattan,Harlem,40.80523,-73.95139,464
Manhattan,East Village,40.72636,-73.98917,465
Brooklyn,Greenpoint,40.72185,-73.93956,466
Manhattan,SoHo,40.72351,-73.99683,467
Brooklyn,Carroll Gardens,40.6809,-73.99233,468
Manhattan,Morningside Heights,40.80525,-73.95916,469
Queens,Sunnyside,40.74,-73.91901,470
Manhattan,Upper West Side,40.80006,-73.96049,471
Brooklyn,Bushwick,40.70283,-73.92131,472
Manhattan,Washington Heights,40.84468,-73.94303,473
Brooklyn,Carroll Gardens,40.68252,-73.99619,474
Manhattan,Chelsea,40.74342,-73.99483,475
Brooklyn,Park Slope,40.67853,-73.98089,476
Brooklyn,Park Slope,40.6788,-73.97643,477
Manhattan,Upper West Side,40.77886,-73.98042,478
Manhattan,East Village,40.72578,-73.97879,479
Brooklyn,South Slope,40.66085,-73.98537,480
Manhattan,East Harlem,40.80113,-73.94503,481
Manhattan,Upper West Side,40.78569,-73.97581,482
Manhattan,Harlem,40.82411,-73.94934,483
Brooklyn,Bedford-Stuyvesant,40.68131,-73.95332,484
Bronx,University Heights,40.85811,-73.90675,485
Brooklyn,Williamsburg,40.70667,-73.96524,486
Brooklyn,Gravesend,40.60452,-73.97103,487
Manhattan,East Harlem,40.7932,-73.94007,488
Brooklyn,Fort Greene,40.68768,-73.97611,489
Manhattan,Harlem,40.80224,-73.94558,490
Manhattan,Lower East Side,40.71473,-73.98842,491
Manhattan,Harlem,40.80518,-73.95359,492
Manhattan,Harlem,40.80827,-73.95329,493
Brooklyn,Greenpoint,40.72901,-73.95812,494
Manhattan,Gramercy,40.73476,-73.98452,495
Brooklyn,Bushwick,40.69055,-73.92357,496
Manhattan,Upper West Side,40.7735,-73.98697,497
Brooklyn,Crown Heights,40.67505,-73.95969,498
Manhattan,East Village,40.72974,-73.98201,499
Brooklyn,Williamsburg,40.70925,-73.95425,500
Brooklyn,Greenpoint,40.72315,-73.95226,501
Manhattan,Chelsea,40.73939,-73.99612,502
Manhattan,Kips Bay,40.74112,-73.97686,503
Manhattan,Lower East Side,40.72019,-73.98217,504
Manhattan,Nolita,40.72133,-73.99666,505
Queens,Astoria,40.75744,-73.92163,506
Queens,Astoria,40.75695,-73.9202,507
Manhattan,Harlem,40.8296,-73.94651,508
Manhattan,East Harlem,40.79056,-73.9468,509
Manhattan,West Village,40.73631,-73.99977,510
Bronx,Allerton,40.86466,-73.85709,511
Brooklyn,Williamsburg,40.71312,-73.96199,512
Brooklyn,Williamsburg,40.71297,-73.94336,513
Manhattan,West Village,40.73712,-74.00166,514
Brooklyn,Bedford-Stuyvesant,40.69242,-73.95097,515
Manhattan,Chelsea,40.73862,-73.99758,516
Brooklyn,Williamsburg,40.7158,-73.95803,517
Brooklyn,Prospect Heights,40.68262,-73.97299,518
Manhattan,East Village,40.73217,-73.98801,519
Manhattan,Hell's Kitchen,40.76311,-73.99388,520
Manhattan,Chelsea,40.74695,-74.00454,521
Brooklyn,East New York,40.67497,-73.87305,522
Brooklyn,Crown Heights,40.66788,-73.94813,523
Manhattan,Upper East Side,40.76684,-73.95944,524
Brooklyn,Bedford-Stuyvesant,40.68967,-73.95445,525
Brooklyn,Prospect Heights,40.67946,-73.96501,526
Brooklyn,Park Slope,40.66944,-73.98083,527
Manhattan,East Village,40.72566,-73.97748,528
Manhattan,Hell's Kitchen,40.7709,-73.99181,529
Brooklyn,Williamsburg,40.71943,-73.95958,530
Queens,Sunnyside,40.74249,-73.92466,531
